"Reservoir_name","Basin","Subbasin","Agency_name","Lat","Long","Date","Year","Month","Full_reservoir_level","Live_capacity_FRL","Storage","Level"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-01","2024","02","320.04","0.095","0.02715","308.138"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-02","2024","02","320.04","0.095","NA","NA"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-03","2024","02","320.04","0.095","0.02565","307.818"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-04","2024","02","320.04","0.095","0.02504","307.68"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-05","2024","02","320.04","0.095","0.0244","307.528"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-06","2024","02","320.04","0.095","0.02374","307.391"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-07","2024","02","320.04","0.095","0.0232","307.269"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-08","2024","02","320.04","0.095","0.02286","307.193"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-09","2024","02","320.04","0.095","0.02266","307.147"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-10","2024","02","320.04","0.095","0.02252","307.116"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-11","2024","02","320.04","0.095","0.02245","307.101"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-12","2024","02","320.04","0.095","0.02021","307.056"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-13","2024","02","320.04","0.095","0.02212","307.025"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-14","2024","02","320.04","0.095","0.02191","306.979"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-15","2024","02","320.04","0.095","0.02144","306.873"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-16","2024","02","320.04","0.095","0.02042","306.644"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-17","2024","02","320.04","0.095","0.0192","306.37"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-18","2024","02","320.04","0.095","0.0185","306.202"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-19","2024","02","320.04","0.095","0.01745","305.943"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-20","2024","02","320.04","0.095","0.0164","305.684"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-21","2024","02","320.04","0.095","0.01553","305.471"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-22","2024","02","320.04","0.095","0.01436","305.181"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-23","2024","02","320.04","0.095","0.01343","304.952"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-24","2024","02","320.04","0.095","0.01248","304.709"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-25","2024","02","320.04","0.095","0.01153","304.754"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-26","2024","02","320.04","0.095","0.01076","304.236"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-27","2024","02","320.04","0.095","0.01003","304.038"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-28","2024","02","320.04","0.095","0.00937","303.855"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-02-29","2024","02","320.04","0.095","0.00865","303.657"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-01","2024","02","519.6","3.105","0.975","513.65"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-02","2024","02","519.6","3.105","0.973","513.64"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-03","2024","02","519.6","3.105","0.971","513.63"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-04","2024","02","519.6","3.105","0.967","513.61"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-05","2024","02","519.6","3.105","0.963","513.59"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-06","2024","02","519.6","3.105","0.959","513.57"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-07","2024","02","519.6","3.105","0.957","513.56"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-08","2024","02","519.6","3.105","0.955","513.55"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-09","2024","02","519.6","3.105","0.951","513.53"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-10","2024","02","519.6","3.105","0.949","513.52"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-11","2024","02","519.6","3.105","0.947","513.51"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-12","2024","02","519.6","3.105","0.945","513.5"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-13","2024","02","519.6","3.105","0.942","513.49"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-14","2024","02","519.6","3.105","0.94","513.48"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-15","2024","02","519.6","3.105","0.938","513.47"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-16","2024","02","519.6","3.105","0.936","513.46"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-17","2024","02","519.6","3.105","0.934","513.45"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-18","2024","02","519.6","3.105","0.932","513.44"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-19","2024","02","519.6","3.105","0.928","513.42"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-20","2024","02","519.6","3.105","0.924","513.4"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-21","2024","02","519.6","3.105","0.92","513.38"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-22","2024","02","519.6","3.105","0.916","513.36"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-23","2024","02","519.6","3.105","0.91","513.33"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-24","2024","02","519.6","3.105","0.906","513.31"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-25","2024","02","519.6","3.105","0.902","513.29"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-26","2024","02","519.6","3.105","0.898","513.27"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-27","2024","02","519.6","3.105","0.894","513.25"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-28","2024","02","519.6","3.105","0.888","513.22"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-02-29","2024","02","519.6","3.105","0.884","513.2"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-01","2024","02","462.08","2.676","1.147","451.74"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-02","2024","02","462.08","2.676","NA","NA"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-03","2024","02","462.08","2.676","NA","NA"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-04","2024","02","462.08","2.676","NA","NA"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-05","2024","02","462.08","2.676","NA","NA"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-06","2024","02","462.08","2.676","NA","NA"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-07","2024","02","462.08","2.676","NA","NA"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-08","2024","02","462.08","2.676","1.125","451.56"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-09","2024","02","462.08","2.676","NA","NA"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-10","2024","02","462.08","2.676","NA","NA"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-11","2024","02","462.08","2.676","NA","NA"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-12","2024","02","462.08","2.676","NA","NA"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-13","2024","02","462.08","2.676","NA","NA"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-14","2024","02","462.08","2.676","NA","NA"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-15","2024","02","462.08","2.676","1.106","451.409"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-16","2024","02","462.08","2.676","NA","NA"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-17","2024","02","462.08","2.676","NA","NA"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-18","2024","02","462.08","2.676","NA","NA"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-19","2024","02","462.08","2.676","NA","NA"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-20","2024","02","462.08","2.676","NA","NA"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-21","2024","02","462.08","2.676","NA","NA"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-22","2024","02","462.08","2.676","1.106","451.409"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-23","2024","02","462.08","2.676","NA","NA"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-24","2024","02","462.08","2.676","NA","NA"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-25","2024","02","462.08","2.676","NA","NA"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-26","2024","02","462.08","2.676","NA","NA"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-27","2024","02","462.08","2.676","NA","NA"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-28","2024","02","462.08","2.676","NA","NA"
"Balimela Reservoir","Godavari Basin","Godavari Lower","CWC","18.22494359","82.20423569","2024-02-29","2024","02","462.08","2.676","1.099","451.35"
"Ban Sagar","Ganga Basin","Sone","CWC","24.11161168","81.09238214","2024-02-01","2024","02","341.64","5.166","3.7125","338.39"
"Ban Sagar","Ganga Basin","Sone","CWC","24.11161168","81.09238214","2024-02-02","2024","02","341.64","5.166","NA","NA"
"Ban Sagar","Ganga Basin","Sone","CWC","24.11161168","81.09238214","2024-02-03","2024","02","341.64","5.166","NA","NA"
"Ban Sagar","Ganga Basin","Sone","CWC","24.11161168","81.09238214","2024-02-04","2024","02","341.64","5.166","NA","NA"
"Ban Sagar","Ganga Basin","Sone","CWC","24.11161168","81.09238214","2024-02-05","2024","02","341.64","5.166","NA","NA"
"Ban Sagar","Ganga Basin","Sone","CWC","24.11161168","81.09238214","2024-02-06","2024","02","341.64","5.166","NA","NA"
"Ban Sagar","Ganga Basin","Sone","CWC","24.11161168","81.09238214","2024-02-07","2024","02","341.64","5.166","NA","NA"
"Ban Sagar","Ganga Basin","Sone","CWC","24.11161168","81.09238214","2024-02-08","2024","02","341.64","5.166","3.62475","338.17"
"Ban Sagar","Ganga Basin","Sone","CWC","24.11161168","81.09238214","2024-02-09","2024","02","341.64","5.166","NA","NA"
"Ban Sagar","Ganga Basin","Sone","CWC","24.11161168","81.09238214","2024-02-10","2024","02","341.64","5.166","NA","NA"
"Ban Sagar","Ganga Basin","Sone","CWC","24.11161168","81.09238214","2024-02-11","2024","02","341.64","5.166","NA","NA"
